A	filename	PSG filename
ABT	clock_h6_N2N3_avg_freq_Hz	Hour 6 - Spindle average frequency (Hz) counting peaks in N2 and N3 stage.
ABU	clock_h6_NREM_avg_freq_Hz	Hour 6 - Spindle average frequency (Hz) counting peaks in NREM stage (N1, N2, N3).
ABV	clock_h6_R_avg_freq_Hz	Hour 6 - Spindle average frequency (Hz) counting peaks in REM stage.
ABW	clock_h6_avg_freq_Hz	Hour 6 - Spindle average frequency (Hz) counting peaks in all stages.
ABX	clock_h6_N1_amp_pkpk_uV	Hour 6 - Average peak-to-peak amplitude (µV) in N1 stage.
ABY	clock_h6_N2_amp_pkpk_uV	Hour 6 - Average peak-to-peak amplitude (µV) in N2 stage.
ABZ	clock_h6_N3_amp_pkpk_uV	Hour 6 - Average peak-to-peak amplitude (µV) in N3 stage.
ACA	clock_h6_N2N3_amp_pkpk_uV	Hour 6 - Average peak-to-peak amplitude (µV) in N2 and N3 stage.
ACB	clock_h6_NREM_amp_pkpk_uV	Hour 6 - Average peak-to-peak amplitude (µV) in NREM stage (N1, N2, N3).
ACC	clock_h6_R_amp_pkpk_uV	Hour 6 - Average peak-to-peak amplitude (µV) in REM stage.
ACD	clock_h6_amp_pkpk_uV	Hour 6 - Average peak-to-peak amplitude (µV) in all stages
ACE	clock_h6_N1_amp_rms_uV	Hour 6 - Average rms amplitude (µV) in N1 stage.
ACF	clock_h6_N2_amp_rms_uV	Hour 6 - Average rms amplitude (µV) in N2 stage.
ACG	clock_h6_N3_amp_rms_uV	Hour 6 - Average rms amplitude (µV) in N3 stage.
ACH	clock_h6_N2N3_amp_rms_uV	Hour 6 - Average rms amplitude (µV) in N2 and N3 stage.
ACI	clock_h6_NREM_amp_rms_uV	Hour 6 - Average rms amplitude (µV) in NREM stage (N1, N2, N3).
ACJ	clock_h6_R_amp_rms_uV	Hour 6 - Average rms amplitude (µV) in REM stage.
ACK	clock_h6_amp_rms_uV	Hour 6 - Average rms (Root Mean Square) amplitude (µV) in all stages
ACL	clock_h7_valid_min	Hour 7 - Valid (no artifact) duration (min) available for detection minus the REM periods if excluded.
ACM	clock_h7_N1_valid_min	Hour 7 - Valid (no artifact) duration (min) in N1 stage available for detection minus the REM periods if excluded.
ACN	clock_h7_N2_valid_min	Hour 7 - Valid (no artifact) duration (min) in N2 stage available for detection minus the REM periods if excluded.
ACO	clock_h7_N3_valid_min	Hour 7 - Valid (no artifact) duration (min) in N3 stage available for detection minus the REM periods if excluded.
ACP	clock_h7_N2N3_valid_min	Hour 7 - Valid (no artifact) duration (min) in N2 and N3 stage available for detection minus the REM periods if excluded.
ACQ	clock_h7_NREM_valid_min	Hour 7 - Valid (no artifact) duration (min) in NREM stage (N1, N2, N3) available for detection minus the REM periods if excluded.
ACR	clock_h7_R_valid_min	Hour 7 - Valid (no artifact) duration (min) in REM stage available for detection.
ACS	clock_h7_min	Hour 7 duration (min) minus the REM periods if excluded.
ACT	clock_h7_N1_spindle_count	Hour 7 - Sleep spindle count in N1 stage.
ACU	clock_h7_N2_spindle_count	Hour 7 - Sleep spindle count in N2 stage.
ACV	clock_h7_N3_spindle_count	Hour 7 - Sleep spindle count in N3 stage.
ACW	clock_h7_N2N3_spindle_count	Hour 7 - Sleep spindle count in N2 and N3 stage.
ACX	clock_h7_NREM_spindle_count	Hour 7 - Sleep spindle count in NREM stage (N1, N2, N3).
ACY	clock_h7_R_spindle_count	Hour 7 - Sleep spindle count in REM stage.
ACZ	clock_h7_spindle_count	Hour 7 - Sleep spindle count in all stages.
ADA	clock_h7_N1_density	Hour 7 - Spindle density (count/min) in N1 stage.
ADB	clock_h7_N2_density	Hour 7 - Spindle density (count/min) in N2 stage.
ADC	clock_h7_N3_density	Hour 7 - Spindle density (count/min) in N3 stage.
ADD	clock_h7_N2N3_density	Hour 7 - Spindle density (count/min) in N2 and N3 stage.
ADE	clock_h7_NREM_density	Hour 7 - Spindle density (count/min) in NREM stage (N1, N2, N3).
ADF	clock_h7_R_density	Hour 7 - Spindle density (count/min) in REM stage.
ADG	clock_h7_density	Hour 7 - Spindle density (count/min) in all stages.
ADH	clock_h7_N1_spindle_sec	Hour 7 - Average spindle duration (s) in N1 stage.
ADI	clock_h7_N2_spindle_sec	Hour 7 - Average spindle duration (s) in N2 stage.
ADJ	clock_h7_N3_spindle_sec	Hour 7 - Average spindle duration (s) in N3 stage.
ADK	clock_h7_N2N3_spindle_sec	Hour 7 - Average spindle duration (s) in N2 and N3 stage.
ADL	clock_h7_NREM_spindle_sec	Hour 7 - Average spindle duration (s) in NREM stage (N1, N2, N3).
ADM	clock_h7_R_spindle_sec	Hour 7 - Average spindle duration (s) in REM stage.
ADN	clock_h7_spindle_sec	Hour 7 - Average spindle duration (s) in all stages.
ADO	clock_h7_N1_dom_freq_Hz	Hour 7 - Spindle dominant frequency (Hz) where spectral energy is maximum in N1 stage.
ADP	clock_h7_N2_dom_freq_Hz	Hour 7 - Spindle dominant frequency (Hz) where spectral energy is maximum in N2 stage.
ADQ	clock_h7_N3_dom_freq_Hz	Hour 7 - Spindle dominant frequency (Hz) where spectral energy is maximum in N3 stage.
ADR	clock_h7_N2N3_dom_freq_Hz	Hour 7 - Spindle dominant frequency (Hz) where spectral energy is maximum in N2 and N3 stage.
ADS	clock_h7_NREM_dom_freq_Hz	Hour 7 - Spindle dominant frequency (Hz) where spectral energy is maximum in NREM stage (N1, N2, N3).
ADT	clock_h7_R_dom_freq_Hz	Hour 7 - Spindle dominant frequency (Hz) where spectral energy is maximum in REM stage.
ADU	clock_h7_dom_freq_Hz	Hour 7 - Spindle dominant frequency (Hz) where spectral energy is maximum in all stages.
ADV	clock_h7_N1_avg_freq_Hz	Hour 7 - Spindle average frequency (Hz) counting peaks in N1 stage.
ADW	clock_h7_N2_avg_freq_Hz	Hour 7 - Spindle average frequency (Hz) counting peaks in N2 stage.
ADX	clock_h7_N3_avg_freq_Hz	Hour 7 - Spindle average frequency (Hz) counting peaks in N3 stage.
ADY	clock_h7_N2N3_avg_freq_Hz	Hour 7 - Spindle average frequency (Hz) counting peaks in N2 and N3 stage.
ADZ	clock_h7_NREM_avg_freq_Hz	Hour 7 - Spindle average frequency (Hz) counting peaks in NREM stage (N1, N2, N3).
AEA	clock_h7_R_avg_freq_Hz	Hour 7 - Spindle average frequency (Hz) counting peaks in REM stage.
AEB	clock_h7_avg_freq_Hz	Hour 7 - Spindle average frequency (Hz) counting peaks in all stages.
AEC	clock_h7_N1_amp_pkpk_uV	Hour 7 - Average peak-to-peak amplitude (µV) in N1 stage.
AED	clock_h7_N2_amp_pkpk_uV	Hour 7 - Average peak-to-peak amplitude (µV) in N2 stage.
AEE	clock_h7_N3_amp_pkpk_uV	Hour 7 - Average peak-to-peak amplitude (µV) in N3 stage.
AEF	clock_h7_N2N3_amp_pkpk_uV	Hour 7 - Average peak-to-peak amplitude (µV) in N2 and N3 stage.
AEG	clock_h7_NREM_amp_pkpk_uV	Hour 7 - Average peak-to-peak amplitude (µV) in NREM stage (N1, N2, N3).
AEH	clock_h7_R_amp_pkpk_uV	Hour 7 - Average peak-to-peak amplitude (µV) in REM stage.
AEI	clock_h7_amp_pkpk_uV	Hour 7 - Average peak-to-peak amplitude (µV) in all stages
AEJ	clock_h7_N1_amp_rms_uV	Hour 7 - Average rms amplitude (µV) in N1 stage.
AEK	clock_h7_N2_amp_rms_uV	Hour 7 - Average rms amplitude (µV) in N2 stage.
AEL	clock_h7_N3_amp_rms_uV	Hour 7 - Average rms amplitude (µV) in N3 stage.
AEM	clock_h7_N2N3_amp_rms_uV	Hour 7 - Average rms amplitude (µV) in N2 and N3 stage.
AEN	clock_h7_NREM_amp_rms_uV	Hour 7 - Average rms amplitude (µV) in NREM stage (N1, N2, N3).
