A	filename	PSG filename
BMO	stage_h4_slope_0_min	Stage Hour 4 - Average slow wave slope (uV/s) from 0 to min of negative in all stages.
BMP	stage_h4_N1_slope_min_max	Stage Hour 4 - Average slow wave slope (uV/s) from min of negative to max of positive in N1 stage.
BMQ	stage_h4_N2_slope_min_max	Stage Hour 4 - Average slow wave slope (uV/s) from min of negative to max of positive in N2 stage.
BMR	stage_h4_N3_slope_min_max	Stage Hour 4 - Average slow wave slope (uV/s) from min of negative to max of positive in N3 stage.
BMS	stage_h4_N2N3_slope_min_max	Stage Hour 4 - Average slow wave slope (uV/s) from min of negative to max of positive in N2 and N3 stage.
BMT	stage_h4_NREM_slope_min_max	Stage Hour 4 - Average slow wave slope (uV/s) from min of negative to max of positive in NREM stage (N1, N2, N3).
BMU	stage_h4_R_slope_min_max	Stage Hour 4 - Average slow wave slope (uV/s) from min of negative to max of positive in REM stage.
BMV	stage_h4_slope_min_max	Stage Hour 4 - Average slow wave slope (uV/s) from min of negative to max of positive in all stages.
BMW	stage_h4_N1_slope_max_0	Stage Hour 4 - Average slow wave slope (uV/s) from max of positive to the 0 crossing in N1 stage.
BMX	stage_h4_N2_slope_max_0	Stage Hour 4 - Average slow wave slope (uV/s) from max of positive to the 0 crossing in N2 stage.
BMY	stage_h4_N3_slope_max_0	Stage Hour 4 - Average slow wave slope (uV/s) from max of positive to the 0 crossing in N3 stage.
BMZ	stage_h4_N2N3_slope_max_0	Stage Hour 4 - Average slow wave slope (uV/s) from max of positive to the 0 crossing in N2 and N3 stage.
BNA	stage_h4_NREM_slope_max_0	Stage Hour 4 - Average slow wave slope (uV/s) from max of positive to the 0 crossing in NREM stage (N1, N2, N3).
BNB	stage_h4_R_slope_max_0	Stage Hour 4 - Average slow wave slope (uV/s) from max of positive to the 0 crossing in REM stage.
BNC	stage_h4_slope_max_0	Stage Hour 4 - Average slow wave slope (uV/s) from max of positive to the 0 crossing in all stages.
BND	stage_h4_N1_trans_freq_Hz	Stage Hour 4 - Average slow wave transition frequency (Hz) in N1 stage.
BNE	stage_h4_N2_trans_freq_Hz	Stage Hour 4 - Average slow wave transition frequency (Hz) in N2 stage.
