A	filename	PSG filename
KZ	hour10_W_act	Hour 10 - The spectral power (uV^2) in awake.
LA	hour10_N1_act	Hour 10 - The spectral power (uV^2) in N1.
LB	hour10_N2_act	Hour 10 - The spectral power (uV^2) in N2.
LC	hour10_N3_act	Hour 10 - The spectral power (uV^2) in N3.
LD	hour10_NREM_act	Hour 10 - The spectral power (uV^2) in NREM.
LE	hour10_R_act	Hour 10 - The spectral power (uV^2) in rem.
LF	hour10_Unscored_act	Hour 10 - The spectral power (uV^2) unscored.
LG	hour11_act	Hour 11 - The spectral power (uV^2)
LH	hour11_W_act	Hour 11 - The spectral power (uV^2) in awake.
LI	hour11_N1_act	Hour 11 - The spectral power (uV^2) in N1.
LJ	hour11_N2_act	Hour 11 - The spectral power (uV^2) in N2.
LK	hour11_N3_act	Hour 11 - The spectral power (uV^2) in N3.
LL	hour11_NREM_act	Hour 11 - The spectral power (uV^2) in NREM.
LM	hour11_R_act	Hour 11 - The spectral power (uV^2) in rem.
LN	hour11_Unscored_act	Hour 11 - The spectral power (uV^2) unscored.
LO	hour12_act	Hour 12 - The spectral power (uV^2)
LP	hour12_W_act	Hour 12 - The spectral power (uV^2) in awake.
LQ	hour12_N1_act	Hour 12 - The spectral power (uV^2) in N1.
LR	hour12_N2_act	Hour 12 - The spectral power (uV^2) in N2.
LS	hour12_N3_act	Hour 12 - The spectral power (uV^2) in N3.
LT	hour12_NREM_act	Hour 12 - The spectral power (uV^2) in NREM.
LU	hour12_R_act	Hour 12 - The spectral power (uV^2) in rem.
LV	hour12_Unscored_act	Hour 12 - The spectral power (uV^2) unscored.
LW	cyc1_length_min	Cycle 1 - Duration of the cycle 1 in minutes.
LX	cyc1_W_fft_win_count	Cycle 1 - The number of valid fft windows in awake.
LY	cyc1_W_fft_win_valid_count	Cycle 1 - The number of valid fft windows in awake.
LZ	cyc1_N1_fft_win_count	Cycle 1 - The number of valid fft windows in N1.
MA	cyc1_N1_fft_win_valid_count	Cycle 1 - The number of valid fft windows in N1.
MB	cyc1_N2_fft_win_count	Cycle 1 - The number of valid fft windows in N2.
MC	cyc1_N2_fft_win_valid_count	Cycle 1 - The number of valid fft windows in N2.
MD	cyc1_N3_fft_win_count	Cycle 1 - The number of valid fft windows in N3.
ME	cyc1_N3_fft_win_valid_count	Cycle 1 - The number of valid fft windows in N3.
MF	cyc1_NREM_fft_win_count	Cycle 1 - The number of valid fft windows in NREM.
MG	cyc1_NREM_fft_win_valid_count	Cycle 1 - The number of valid fft windows in NREM.
MH	cyc1_R_fft_win_count	Cycle 1 - The number of valid fft windows in rem.
MI	cyc1_R_fft_win_valid_count	Cycle 1 - The number of valid fft windows in rem.
MJ	cyc1_Unscored_fft_win_count	Cycle 1 - The number of valid fft windows unscored.
MK	cyc1_Unscored_fft_win_valid_count	Cycle 1 - The number of valid fft windows unscored.
ML	cyc1_fft_win_count	Cycle 1 - The total number of valid fft windows.
MM	cyc1_fft_win_valid_count	Cycle 1 - The total number of valid fft windows.
MN	cyc2_length_min	Cycle 2 - Duration of the cycle 1 in minutes.
MO	cyc2_W_fft_win_count	Cycle 2 - The number of valid fft windows in awake.
MP	cyc2_W_fft_win_valid_count	Cycle 2 - The number of valid fft windows in awake.
MQ	cyc2_N1_fft_win_count	Cycle 2 - The number of valid fft windows in N1.
MR	cyc2_N1_fft_win_valid_count	Cycle 2 - The number of valid fft windows in N1.
MS	cyc2_N2_fft_win_count	Cycle 2 - The number of valid fft windows in N2.
MT	cyc2_N2_fft_win_valid_count	Cycle 2 - The number of valid fft windows in N2.
MU	cyc2_N3_fft_win_count	Cycle 2 - The number of valid fft windows in N3.
MV	cyc2_N3_fft_win_valid_count	Cycle 2 - The number of valid fft windows in N3.
MW	cyc2_NREM_fft_win_count	Cycle 2 - The number of valid fft windows in NREM.
MX	cyc2_NREM_fft_win_valid_count	Cycle 2 - The number of valid fft windows in NREM.
MY	cyc2_R_fft_win_count	Cycle 2 - The number of valid fft windows in rem.
MZ	cyc2_R_fft_win_valid_count	Cycle 2 - The number of valid fft windows in rem.
NA	cyc2_Unscored_fft_win_count	Cycle 2 - The number of valid fft windows unscored.
NB	cyc2_Unscored_fft_win_valid_count	Cycle 2 - The number of valid fft windows unscored.
NC	cyc2_fft_win_count	Cycle 2 - The total number of valid fft windows.
ND	cyc2_fft_win_valid_count	Cycle 2 - The total number of valid fft windows.
NE	cyc3_length_min	Cycle 3 - Duration of the cycle 1 in minutes.
NF	cyc3_W_fft_win_count	Cycle 3 - The number of valid fft windows in awake.
NG	cyc3_W_fft_win_valid_count	Cycle 3 - The number of valid fft windows in awake.
NH	cyc3_N1_fft_win_count	Cycle 3 - The number of valid fft windows in N1.
NI	cyc3_N1_fft_win_valid_count	Cycle 3 - The number of valid fft windows in N1.
NJ	cyc3_N2_fft_win_count	Cycle 3 - The number of valid fft windows in N2.
NK	cyc3_N2_fft_win_valid_count	Cycle 3 - The number of valid fft windows in N2.
NL	cyc3_N3_fft_win_count	Cycle 3 - The number of valid fft windows in N3.
NM	cyc3_N3_fft_win_valid_count	Cycle 3 - The number of valid fft windows in N3.
NN	cyc3_NREM_fft_win_count	Cycle 3 - The number of valid fft windows in NREM.
NO	cyc3_NREM_fft_win_valid_count	Cycle 3 - The number of valid fft windows in NREM.
NP	cyc3_R_fft_win_count	Cycle 3 - The number of valid fft windows in rem.
NQ	cyc3_R_fft_win_valid_count	Cycle 3 - The number of valid fft windows in rem.
NR	cyc3_Unscored_fft_win_count	Cycle 3 - The number of valid fft windows unscored.
NS	cyc3_Unscored_fft_win_valid_count	Cycle 3 - The number of valid fft windows unscored.
NT	cyc3_fft_win_count	Cycle 3 - The total number of valid fft windows.
NU	cyc3_fft_win_valid_count	Cycle 3 - The total number of valid fft windows.
NV	cyc4_length_min	Cycle 4 - Duration of the cycle 1 in minutes.
NW	cyc4_W_fft_win_count	Cycle 4 - The number of valid fft windows in awake.
NX	cyc4_W_fft_win_valid_count	Cycle 4 - The number of valid fft windows in awake.
NY	cyc4_N1_fft_win_count	Cycle 4 - The number of valid fft windows in N1.
NZ	cyc4_N1_fft_win_valid_count	Cycle 4 - The number of valid fft windows in N1.
OA	cyc4_N2_fft_win_count	Cycle 4 - The number of valid fft windows in N2.
OB	cyc4_N2_fft_win_valid_count	Cycle 4 - The number of valid fft windows in N2.
OC	cyc4_N3_fft_win_count	Cycle 4 - The number of valid fft windows in N3.
OD	cyc4_N3_fft_win_valid_count	Cycle 4 - The number of valid fft windows in N3.
OE	cyc4_NREM_fft_win_count	Cycle 4 - The number of valid fft windows in NREM.
OF	cyc4_NREM_fft_win_valid_count	Cycle 4 - The number of valid fft windows in NREM.
OG	cyc4_R_fft_win_count	Cycle 4 - The number of valid fft windows in rem.
OH	cyc4_R_fft_win_valid_count	Cycle 4 - The number of valid fft windows in rem.
OI	cyc4_Unscored_fft_win_count	Cycle 4 - The number of valid fft windows unscored.
OJ	cyc4_Unscored_fft_win_valid_count	Cycle 4 - The number of valid fft windows unscored.
OK	cyc4_fft_win_count	Cycle 4 - The total number of valid fft windows.
OL	cyc4_fft_win_valid_count	Cycle 4 - The total number of valid fft windows.
OM	cyc5_length_min	Cycle 5 - Duration of the cycle 1 in minutes.
ON	cyc5_W_fft_win_count	Cycle 5 - The number of valid fft windows in awake.
