A	filename	PSG filename
BG	clock_h1_N2N3_fft_win_valid_count	Real Clock Hour 1 - The number of valid FFT windows in N2 and N3 during the first real clock hour.
BH	clock_h1_NREM_fft_win_count	Real Clock Hour 1 - The number of FFT windows in NREM (N1, N2 and N3) during the first real clock hour.
BI	clock_h1_NREM_fft_win_valid_count	Real Clock Hour 1 - The number of valid FFT windows in NREM (N1, N2 and N3) during the first real clock hour.
BJ	clock_h1_R_fft_win_count	Real Clock Hour 1 - The number of FFT windows in REM during the first real clock hour.
BK	clock_h1_R_fft_win_valid_count	Real Clock Hour 1 - The number of valid FFT windows in REM during the first real clock hour.
BL	clock_h1_Unscored_fft_win_count	Real Clock Hour 1 - The number of FFT windows unscored during the first real clock hour.
BM	clock_h1_Unscored_fft_win_valid_count	Real Clock Hour 1 - The number of valid FFT windows unscored during the first real clock hour.
BN	clock_h1_fft_win_count	Real Clock Hour 1 - The total number of FFT windows during the first real clock hour.
BO	clock_h1_fft_win_valid_count	Real Clock Hour 1 - The total number of valid FFT windows during the first real clock hour.
BP	clock_h2_W_fft_win_count	Real Clock Hour 2 - The number of FFT windows in Wake during the first real clock hour.
BQ	clock_h2_W_fft_win_valid_count	Real Clock Hour 2 - The number of valid FFT windows in Wake during the first real clock hour.
BR	clock_h2_N1_fft_win_count	Real Clock Hour 2 - The number of FFT windows in N1 during the first real clock hour.
BS	clock_h2_N1_fft_win_valid_count	Real Clock Hour 2 - The number of valid FFT windows in N1 during the first real clock hour.
BT	clock_h2_N2_fft_win_count	Real Clock Hour 2 - The number of FFT windows in N2 during the first real clock hour.
BU	clock_h2_N2_fft_win_valid_count	Real Clock Hour 2 - The number of valid FFT windows in N2 during the first real clock hour.
BV	clock_h2_N3_fft_win_count	Real Clock Hour 2 - The number of FFT windows in N3 during the first real clock hour.
BW	clock_h2_N3_fft_win_valid_count	Real Clock Hour 2 - The number of valid FFT windows in N3 during the first real clock hour.
BX	clock_h2_N2N3_fft_win_count	Real Clock Hour 2 - The number of FFT windows in N2 and N3 during the first real clock hour.
BY	clock_h2_N2N3_fft_win_valid_count	Real Clock Hour 2 - The number of valid FFT windows in N2 and N3 during the first real clock hour.
BZ	clock_h2_NREM_fft_win_count	Real Clock Hour 2 - The number of FFT windows in NREM (N1, N2 and N3) during the first real clock hour.
